longitude,latitude,Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,Year
-116.6644525394895,32.60904574866804,CA3261311670620220831,0ED8C05A-7613-4BDD-8AF2-FD9A98F97ADA,BORDER 32,Wildfire,10029521,MTBS,Initial,4530,32.608,-116.662,2022-08-31,903903720220820,903903720220905,,-4,24,-970,-150,55,295,475,,2022
-116.85645239356798,33.67107614083398,CA3371711689320220905,A4DEF98D-98F0-46AC-A17B-9F7AD6116CE3,FAIRVIEW,Wildfire,10029526,MTBS,Initial,28680,33.675,-116.869,2022-09-05,B11SNT20220828_30m,A11SNT20220915_30m,,44,25,-970,-150,165,385,615,,2022
-118.64376033825225,34.54517161072406,CA3451411862920220831,E27C88E9-90B0-4557-8DB3-3ED1232D95A0,ROUTE,Wildfire,10029529,MTBS,Initial,5335,34.546,-118.644,2022-08-31,904103620220818,904103620220903,,-15,20,-970,-150,30,450,530,,2022
-118.89603608822276,34.92381574809127,CA3493411887620220622,BEE8A0A3-0C2B-4E2B-B073-77C39EC9FA9C,THUNDER,Wildfire,10029531,MTBS,Initial,2586,34.922,-118.89,2022-06-22,904103620220615,904103620220701,,13,8,-970,-150,70,550,9999,,2022
-116.88376924026075,34.21296295262365,CA3418511691820220905,E759843C-DE2F-4B80-B76B-D8E8C43FCB00,RADFORD,Wildfire,10029537,MTBS,Extended,1090,34.213,-116.885,2022-09-05,804003620220616,804003620230619,,-8,26,-970,-150,35,230,490,,2022
-122.39275232379804,41.477032070815426,CA4143212238420220902,DE35B33D-13C4-409B-8D7C-62B3AAB78550,MILL,Wildfire,10029565,MTBS,Initial,4419,41.472,-122.393,2022-09-02,904503120220830,904503120220915,,-15,8,-970,-150,20,232,470,WFIGS perimiter consulted to create burn area boundry.,2022
-122.8412619501281,41.81314694406005,CA4183012289520220729,4630026A-7802-477E-9133-E094C32E8D8C,MCKINNEY,Wildfire,10029568,MTBS,Extended,60592,41.812,-122.833,2022-07-29,A10TEM20210830_30m,B10TEM20230815_30m,,7,17,-970,-150,35,300,530,,2022
-121.56211849169249,42.13580609076583,OR4213212157920220907,E8BFDD4B-0DA3-4896-A3AE-C3B4EA50C676,VAN METER,Wildfire,10029622,MTBS,Initial,2684,42.132,-121.565,2022-09-07,804403120210929,804403120221002,,6,29,-970,-150,55,490,700,Refered to WFIGS for perimiter creation.,2022
-123.6482239866251,40.833149687928426,CA4082312363920220805,C403F1AF-8762-41CE-A75E-5A4508B122E2,AMMON,Wildfire,10029641,MTBS,Extended,11514,40.835,-123.648,2022-08-05,B10TDL20220701_30m,B10TDL20230616_30m,,-5,13,-970,-150,20,240,485,WFIGS perimiter used in conjunction with dnbr to create perimiter.,2022
-123.55310429965212,40.94795169135638,CA4090712359920220805,63341D1A-DA35-4F72-9207-43688381FBA4,CAMPBELL,Wildfire,10029644,MTBS,Extended,30392,40.949,-123.549,2022-08-05,B10TDL20220701_30m,B10TDL20230616_30m,,-5,13,-970,-150,20,250,590,Used DNBR and WFIGS for perimeter creation.,2022
-122.6604079114078,41.46145701291876,CA4142912263720220902,EE462846-A630-4A0A-B273-B2D4D9F3D208,MOUNTAIN,Wildfire,10029648,MTBS,Extended,13965,41.46,-122.654,2022-09-02,A10TEL20220626_30m,B10TEL20230616_30m,,8,15,-970,-150,35,270,615,WFIGS perimiter used to create burn area boundry shapefile.,2022
-123.2685530604583,41.84049045093351,CA4186812327820220730,CBF463F1-943D-43FC-A4E5-D50647817B6F,YETI,Wildfire,10029650,MTBS,Extended,7825,41.836,-123.261,2022-07-30,B10TDM20220621_30m,A10TDM20230601_30m,,6,16,-970,-150,35,245,610,,2022
-123.59864315701185,42.61260624071419,OR4264012363120220817,E0C771C8-8138-440D-A5BC-BE5013BFAFD6,RUM CREEK,Wildfire,10029679,MTBS,Extended,21492,42.607,-123.604,2022-08-17,B10TDN20220621_30m,A10TDN20230601_30m,,-7,19,-970,-150,35,318,620,WFIGS used to create perimiter.,2022
-120.26532185584796,41.87069469311905,CA4189012029820220907,0AA067F2-E9B8-426B-BBDE-F9DC2A00A95F,BARNES,Wildfire,10029746,MTBS,Extended,5916,41.869,-120.265,2022-09-07,904303120220629,904303120230616,,1,18,-970,-150,35,335,650,,2022
-115.56908793269203,35.99042788722603,NV3599911559820210610,FE477303-0699-4C04-B951-3291CE248A07,SANDY VALLEY,Wildfire,10021922,MTBS,Initial,1081,35.989,-115.572,2021-06-10,804003520210528,804003520210613,,7,8,-970,-150,30,170,305,,2021
-116.4647786458706,32.98095319231073,CA3298011643520210501,4F0C331F-A20F-4949-8CBE-4F2717DD02DA,SOUTHERN,Wildfire,10021925,MTBS,Initial,5525,32.98,-116.462,2021-05-01,A11SNS20210430_30m,A11SNS20210510_30m,,-6,5,-970,-150,30,370,9999,,2021
-117.38272621340244,33.49145578473823,CA3350411735320210828,7B895401-D2D2-4B16-AB33-33C0A5E64312,CHAPARRAL,Wildfire,10021935,MTBS,Extended,1601,33.492,-117.38,2021-08-28,804003720210613,904003720220608,,-37,27,-970,-150,20,370,510,,2021
-115.75834091235981,35.362907266445006,CA3534311578320210617,7403EA1B-4848-40F6-9EAD-958679EC2A7A,MOJAVE,Wildfire,10021937,MTBS,Initial,2499,35.363,-115.767,2021-06-17,B11SPV20210614_30m,B11SPV20210624_30m,,-22,7,-970,-150,30,9999,9999,,2021
-116.41235034232977,37.071711913238964,NV3700011641620210517,1EA57600-9731-46D7-9AE1-B576DC679E05,CHERRYWOOD,Wildfire,10021987,MTBS,Initial,25489,37.076,-116.407,2021-05-17,804003420210512,804003420210528,,7,7,-970,-150,40,207,395,,2021
-118.90888448250448,34.90176060187759,CA3494811892720210627,DE2D736E-66E1-4436-A314-1197C122B70D,SHELL,Wildfire,10022010,MTBS,Initial,2048,34.903,-118.906,2021-06-27,804103620210620,804103620210706,,1,19,-970,-150,40,9999,9999,,2021
-120.77075512690355,36.00872879703624,CA3595912083320210530,9654075F-593F-465C-90DC-78F372FBA135,SARGENTS,Wildfire,10022013,MTBS,Initial,1231,36.01,-120.771,2021-05-30,804303520210517,804303520210602,,42,20,-970,-150,75,480,9999,,2021
-121.54589971273741,36.20760233090686,CA3620712156020210618,4663977B-C875-4CC9-B8A6-9724F584B598,WILLOW,Wildfire,10022014,MTBS,Initial,3090,36.208,-121.545,2021-06-18,804303520210602,804303520210704,,50,22,-970,-150,75,410,800,,2021
-118.56883595840101,34.09679063398073,CA3408411857020210515,91A03D76-7E08-4A23-A8DB-4B17568EBA88,PALISADES,Wildfire,10022017,MTBS,Initial,1369,34.097,-118.57,2021-05-15,804103620210503,804103620210604,,50,37,-970,-150,85,342,630,,2021
-118.4057205510929,35.42097635478383,CA3540811843620210720,8AA7C284-8414-4FB2-B720-562A4C25EBA1,PEAK,Wildfire,10022020,MTBS,Extended,2317,35.421,-118.41,2021-07-20,804103520210706,804103520220607,,-13,40,-970,-150,35,291,570,,2021
-120.10474089721761,34.49399993535609,CA3451712013120211011,B6304F5D-0658-49A8-BE97-64D4B17E7833,ALISAL,Wildfire,10022027,MTBS,Initial,17677,34.493,-120.111,2021-10-11,A11SKU20211003_30m,A11SKU20211122_30m,,-45,34,-970,-150,30,352,685,,2021
-118.7631014071672,36.00461460066019,CA3602211875920210618,CBB8FC48-32C9-4523-9EE0-347E4D02EB29,NETTLE,Wildfire,10022045,MTBS,Initial,1372,36.005,-118.761,2021-06-18,804103520210604,804103520210706,,16,31,-970,-150,70,420,9999,,2021
-118.56515049870865,35.6926300071829,CA3568711855020210818,7E9BE942-1E0A-4350-9650-F71A3D17EB10,FRENCH,Wildfire,10022046,MTBS,Extended,27331,35.696,-118.567,2021-08-18,804203520210611,804203520220614,,-15,36,-970,-150,60,276,525,,2021
-118.54697686236256,36.307981386094106,CA3627811855020210815,751BAEA9-D0BC-43AF-AE3E-34CBFB059110,WALKERS,Wildfire,10022047,MTBS,Extended,9011,36.307,-118.546,2021-08-15,804203520210611,804203520220614,,-15,31,-970,-150,55,283,540,,2021
-118.6007315821234,35.980862558835604,CA3604711863120210910,ACD5C207-BB83-4419-977D-3F64778081A3,WINDY,Wildfire,10022050,MTBS,Extended,97831,35.972,-118.606,2021-09-10,804203520210611,804203520220614,,-3,41,-970,-150,35,313,610,,2021
-118.81669001689308,36.57266857233259,CA3658211879520210912,499D6545-2A19-458A-8C7C-554932C6B86E,KNP COMPLEX,Wildfire,10022054,MTBS,Extended,89960,36.578,-118.802,2021-09-12,804203520210611,804203520220614,,-8,39,-970,-150,35,313,610,,2021
-120.980225241544,39.115261397050226,CA3908512098820210804,CD496AEC-A7E7-4F99-A9B2-C7501A1C0A2D,RIVER,Wildfire,10022374,MTBS,Extended,2706,39.115,-120.979,2021-08-04,804303320200717,804303320220723,,51,45,-970,-150,105,353,635,,2021
-123.62808658613027,40.904978580786434,CA4091612363420210829,A722E0FB-C96C-40F8-A762-C6C8B7CF8966,KNOB,Wildfire,10022388,MTBS,Extended,2478,40.906,-123.626,2021-08-29,804503220210718,904503220220713,,18,19,-970,-150,70,321,600,,2021
-122.35889635769213,40.9109921537146,CA4086312235520210630,403B847B-B915-478A-87F0-1D8013C54B18,SALT,Wildfire,10022390,MTBS,Extended,12593,40.908,-122.364,2021-06-30,804503220200715,904503220220713,,44,29,-970,-150,100,340,615,,2021
-114.6976355418237,33.115150612883205,AZ3312611469820211005,D7A7A329-8867-414C-AFFC-7B3BDB249731,CLIP,Wildfire,10023801,MTBS,Initial,1295,33.119,-114.694,2021-10-05,803803720210919,803903720211012,,0,25,-970,-150,67,9999,9999,,2021
-114.06213384167765,34.284320898429215,AZ3428611406920210624,4CA8B54E-B92A-4A73-9F80-374D53A83F31,PLANET RANCH,Wildfire,10023807,MTBS,Initial,1250,34.286,-114.067,2021-06-24,B12STD20210621_30m,B12STD20210701_30m,,-15,33,-970,-150,21,543,9999,,2021
-113.8849195029114,35.08586290917717,AZ3507511388320210425,BB6A93E3-BB46-4E4D-9797-431067FA209E,FLAG,Wildfire,10023809,MTBS,Extended,1474,35.087,-113.885,2021-04-25,A12STD20200909_30m,B12STD20220907_30m,,1,42,-970,-150,38,256,503,803803620210428_REFL.tif and 803803620210514_REFL.tif used as perimeter image.,2021
-114.0812510271268,35.462410046908055,AZ3545111408320210711,2AC8F76B-8C75-48F2-B503-58731D37DE83,ELEMENTS,Wildfire,10023926,MTBS,Initial,1480,35.464,-114.079,2021-07-11,A12STE20210709_30m,A11SQV20210716_30m,,20,13,-970,-150,51,9999,9999,,2021
-121.04827969518075,40.2113110810271,CA3987612137920210714,E9DB628D-DFB7-4C85-BCD6-1254574D946B,DIXIE,Wildfire,10023957,MTBS,Extended,979795,40.323,-120.865,2021-07-14,804403220200708,804403220220714,,-14,35,-970,-150,70,304,570,"Burn scar to the east was burnt slightly earlier.  Used perimeter from PIA to make boundary between the two fires.

CA4000712096520210723 was combined with this fire.",2021
-121.37299910624449,42.28062307320655,OR4228612140420210619,FF8061E0-2209-4B2F-8D33-3717FC6F7F34,CUTOFF,Wildfire,10023973,MTBS,Initial,1265,42.278,-121.374,2021-06-19,804503020210616,804403120210625,,-7,22,-970,-150,50,294,565,,2021
-117.90961751997544,35.700591668861286,CA3571211791620210501,5772D343-40DD-45A9-8F88-7ABDD560A165,OWENS,Wildfire,10023978,MTBS,Initial,1548,35.7,-117.91,2021-05-01,804103520210401,804103520210503,,5,10,-970,-150,31,9999,9999,,2021
-122.28114633301944,41.479693116102275,CA4145912232920210625,A7F01FAF-7092-49EF-9D1E-154FBCA30808,LAVA,Wildfire,10023982,MTBS,Initial,26287,41.495,-122.276,2021-06-25,804503120200715,804503120210718,,12,29,-970,-150,110,490,700,,2021
-122.04201263794614,41.71719398052825,CA4166512205420210628,5C2D3644-5266-4028-A593-F66AA0791D54,TENNANT,Wildfire,10023983,MTBS,Extended,11738,41.717,-122.044,2021-06-28,804503120200715,804503120220721,,15,33,-970,-150,100,280,510,,2021
-122.97974960404481,41.110812046354525,CA4114212301620210731,D6024AFC-A330-404F-ACF1-7A21986EEFEA,HAYPRESS,Wildfire,10023985,MTBS,Extended,204549,41.12,-122.983,2021-07-31,804503120200715,804503120220721,,17,33,-970,-150,90,360,660,"Used perimeter from PIA mapping and made edits.

CA4106112307920210731 is a duplicate of this fire.  It was combined with this mapping.",2021
-121.76948578022697,41.62377780749008,CA4150012192920210801,4098977E-B34D-40C3-8F34-2B913217503A,ANTELOPE,Wildfire,10023990,MTBS,Extended,141960,41.64,-121.769,2021-08-01,804503120210718,804503120220721,,6,32,-970,-150,85,315,580,Unburnt area in northeast portion of scar was actually burnt.  But low vegetation made it appear unburnt in extended imagery.,2021
-123.24515706670704,41.30651810626063,CA4132412320120210731,36CB922A-EB2C-4943-B50C-13265C74547C,CRONAN,Wildfire,10023994,MTBS,Extended,7609,41.304,-123.244,2021-07-31,804503120210718,804503120220721,,14,19,-970,-150,50,340,650,,2021
-118.86944719280062,37.80946127247681,CA3780211887520210712,2D98ADAA-65B2-4E85-BDF5-FED3B385269D,DEXTER,Wildfire,10023998,MTBS,Extended,2977,37.814,-118.875,2021-07-12,804203420200726,804203420220716,,-14,32,-970,-150,35,227,450,"The very west side of the perimeter is burnt, as shown in perimeter image.  Just fades more than the rest of the scar.",2021
-120.31269250643909,38.70591330309185,CA3858612053820210815,E6C053C8-A346-43FB-9C29-632BC7536717,CALDOR,Wildfire,10024007,MTBS,Extended,226583,38.724,-120.29,2021-08-15,804303320210805,804303320220723,,-2,39,-970,-150,116,312,553,22 images used for perimeter deliniation with between 20210817-20211111 dates.,2021
-120.17854639640252,39.93646073326809,CA3983912034520210702,33088F36-F802-4500-86A4-82DA6A62425F,SUGAR,Wildfire,10024011,MTBS,Initial,108368,39.957,-120.181,2021-07-02,804303220200701,804303220210805,,44,32,-970,-150,110,450,650,CA3987512036820210703 is a duplicate of this fire.  It was combined here into one fire.,2021
-119.73056315961658,38.71808223384598,CA3862811985720210704,B30866D5-FE66-4103-9B00-07ABE902A13F,TAMARACK,Wildfire,10024024,MTBS,Extended,70171,38.706,-119.712,2021-07-04,804303320200701,804303320220707,,-16,34,-970,-150,59,293,556,"For perimeter delineation the following images were used: 804303320210704_REFL.tif, A10SGH20210705_REFL_30.tif, A10SGH20210715_REFL_30.tif. 804303320210720_REFL.tif, A10SGJ20210804_REFL_30.tif, 804303320210805_REFL.tif, 804303320210821_REFL.tif, 80430332",2021
-119.86240954664191,38.46554569504781,CA3846311986320210625,31F08AE4-4DD2-4A8E-BFDD-779C552DF2A2,HENRY,Wildfire,10024030,MTBS,Extended,1316,38.465,-119.859,2021-06-25,804303320210618,804303320220707,,-25,35,-970,-150,5,247,494,"For perimeter delineation the following images were used: 804303320210704_REFL.tif, 804303320210720_REFL.tif, 804303320210805_REFL.tif, 804303320210821_REFL.tif.",2021
-119.73534597379957,38.76550006195691,CA3876011973020210701,A64474A3-8A1A-4830-92A3-03311D65EB1E,EAST FORK,Wildfire,10024031,MTBS,Extended,1184,38.764,-119.734,2021-07-01,804303320210618,804303320220707,,0,15,-970,-150,26,277,550,A10SGH20210715_REFL_30.tif is used as perimeter image.,2021
-119.70053085758782,37.99705414208973,CA3797811972120210731,BC9AFF27-7865-4592-B930-EC465BBC88CB,TILTILL,Wildfire,10024041,MTBS,Extended,2829,38.002,-119.699,2021-07-31,804203420210713,804203420220716,,-5,37,-970,-150,35,290,9999,,2021
-119.8303053317973,37.33157835874982,CA3734911987120210711,D3A00541-DBCB-4519-8B77-B9B4DFEDDD0B,RIVER,Wildfire,10024050,MTBS,Initial,10183,37.332,-119.823,2021-07-11,804303420210704,804303420210720,,-4,23,-970,-150,67,400,690,High and moderate severities are adjusted to be similar as much as possible with extended assessment’s severity thresholds.,2021
-122.28443062498015,40.71980319110964,CA4073512229220210922,0EC52428-9E20-46D4-B4C8-AFCD50F9DDA2,FAWN,Wildfire,10024056,MTBS,Extended,9087,40.718,-122.283,2021-09-22,804503220210718,804503220220721,,24,43,-970,-150,120,296,520,"Based on B10TEL20210924_REFL_30.tif image, middle-south-east part of the perimeter area has burned again. On the image, active flames are visible.",2021
-123.25447587248928,40.732630228439376,CA4075212333720210731,9CF3A69A-A888-4BCD-AA7A-703D75D47E78,MONUMENT,Wildfire,10024059,MTBS,Extended,226125,40.72,-123.261,2021-07-31,804503220210718,804503220220721,,20,31,-970,-150,115,302,534,22 images were applied for perimeter delineation with dates in between 20210802 to 20210929.,2021
-120.89977125157397,42.08746972920871,OR4209912088220210503,9E075B7C-CDE2-407D-9D53-5C4449CCF67E,STATELINE STRAWBERRY RX,Prescribed Fire,10024072,MTBS,Initial,5864,42.086,-120.889,2021-05-03,B10TFM20190604_30m,A10TFM20210529_30m,,11,49,-970,-150,60,9999,9999,OR4209512089320210515 is a duplicate of this fire.,2021
-122.90616599675401,40.274392478378964,CA4035012303620210730,938686BB-0F52-47B2-B077-EB307941D939,MCFARLAND,Wildfire,10024077,MTBS,Extended,121554,40.278,-122.919,2021-07-30,804503220210718,804503220220721,,18,32,-970,-150,89,297,543,,2021
-120.96932364260938,42.18314272175852,OR4218712094820210510,A048243E-3632-4D09-A0AE-21AA562399A7,ORIANA RX,Prescribed Fire,10024078,MTBS,Initial,1031,42.181,-120.966,2021-05-10,804403120200622,804403120210625,,39,23,-970,-150,90,450,9999,OR4217912097620210516 is a duplicate of this fire.,2021
-120.58402526795345,42.23196063659335,OR4221012059920210812,5CB9FF37-7EB4-439E-9452-5C400A1EE468,PATTON MEADOW,Wildfire,10024081,MTBS,Extended,9159,42.234,-120.581,2021-08-12,804403120210711,804403120220714,,-29,34,-970,-150,20,270,540,"Burn scar to the north is under a different ID.

OR4226112059120210813 and OR4223412058120210813 are duplicates of this fire.",2021
-120.48996113952391,42.39023234142522,OR4227712061220210907,9EF43D90-FD7F-4A95-BF14-371288AA904D,COUGAR PEAK,Wildfire,10024085,MTBS,Initial,95350,42.402,-120.49,2021-09-07,804403120200910,804403120210929,,-11,45,-970,-150,50,430,700,"Used perimeter from PIA mapping with slight adjustments.

Burn scar to the south is under a different ID.",2021
-121.21449867642235,42.52400868250496,OR4253212123820210418,81C9910E-0382-4FEA-BCEB-4CE9ED10C9A2,PONINA,Wildfire,10024108,MTBS,Initial,1702,42.524,-121.211,2021-04-18,804503020210413,804403020210422,,3,22,-970,-150,54,300,539,,2021
-121.2864769306598,42.62480541979544,OR4263812130020210407,9526C6A6-7502-47C6-9263-7EE75C1D0AEC,WEST SPODUE RX,Prescribed Fire,10024128,MTBS,Initial,1608,42.625,-121.282,2021-04-07,A10TFN20200504_30m,A10TFN20210419_30m,,-23,26,-970,-150,29,9999,9999,,2021
-121.08081777134518,42.6278591822071,OR4261612142120210706,0BA1C51B-1EEF-4081-BB65-76EC999F95C6,BOOTLEG,Wildfire,10024129,MTBS,Extended,413496,42.657,-121.079,2021-07-06,804403020210625,804403020220714,,-5,48,-970,-150,70,256,481,"North east side, adjacent to Bootleg fire, Log fire occurred on 07/12/2021. Perimeter extent is delineated based on 19 fire progress images between 07/08/2021 - 08/28/2021. Additionally, news from Oregonlive on July 22 2021 reported about strong wind occ",2021
-123.3564438783048,41.561983409697355,CA4156412340420210801,D294B9CA-4CE7-46C5-874B-E12EBE925E1F,MCCASH,Wildfire,10024164,MTBS,Extended,95762,41.553,-123.343,2021-08-01,804503120210718,904603120220720,,-14,40,-970,-150,70,302,565,"All available 21 Sentinel and Landsat images, between the dates 20210803 to 20211013, showing fire progress were applied in perimeter delineation.",2021
-122.6952646341331,42.53070334385379,OR4246712268320200908,2BF5EC75-EC94-42C1-B7DE-9D2CE3242747,S OBENCHAIN,Wildfire,10019423,MTBS,Extended,32875,42.536,-122.679,2020-09-08,804603020200722,804603020210725,,38,32,-970,-150,95,292,530,,2020
-121.91041606587919,42.63577524232292,OR4265312186920200908,99880600-3205-4843-845F-AE3E52F4A212,TWO FOUR TWO,Wildfire,10019430,MTBS,Extended,14264,42.626,-121.911,2020-09-08,A10TEN20200904_30m,A10TEN20210810_30m,,53,25,-970,-150,95,300,545,,2020
-122.85393449495537,41.24075290507652,CA4121212284720200914,C0DD9C3E-2CC6-486F-BA0B-2384310B0DF0,FOX,Wildfire,10019432,MTBS,Extended,2172,41.236,-122.855,2020-09-14,804503120200731,804503120210702,804503120201003,42,25,-970,-150,75,285,530,,2020
-121.4529510512275,41.73456695451614,CA4169912147720200722,29649803-B9D9-4F8D-9A38-A0CDDC6FD2D2,CALDWELL,Wildfire,10019446,MTBS,Initial,81870,41.737,-121.456,2020-07-22,804403120190823,804403120200910,,24,29,-970,-150,85,326,600,"2020 IA pilot.
Used BAER perimeter with minor edits.
This mapping is valid MTBS mapping of this fire.",2020
-123.23363068092345,41.92478582110764,CA4190412319120200909,C99607D1-B1D4-4FE3-9B28-36C315AC4306,DEVIL,Wildfire,10019491,MTBS,Extended,9055,41.93,-123.238,2020-09-09,804503120200715,804503120210718,,23,29,-970,-150,55,307,585,,2020
-123.39224421172311,41.11876264845368,CA4118512343320200728,843FC86F-D6D2-4E49-93EA-96F6B0720C3D,RED SALMON COMPLEX,Wildfire,10019496,MTBS,Extended,147535,41.114,-123.409,2020-07-28,A10TDL20200716_30m,A10TDL20210721_30m,,14,45,-970,-150,70,321,600,,2020
-123.50117682728366,41.94651314611413,CA4185812335420200908,24CDAB5C-7832-4546-BD05-15CC702A0326,SLATER,Wildfire,10019506,MTBS,Extended,157784,41.932,-123.539,2020-09-08,A10TDM20200716_30m,B10TDM20210716_30m,,9,34,-970,-150,60,325,615,,2020
-120.56982950023773,42.61664882589694,OR4257212055720200908,D29D288D-F7E6-476D-934A-2BAEDCEBE17D,BRATTAIN,Wildfire,10019542,MTBS,Extended,51472,42.619,-120.577,2020-09-08,804403020200708,804403020210711,,20,43,-970,-150,85,275,505,,2020
-121.06006076548017,41.72491633056662,CA4173712105820200723,9F9E1BE4-BE1A-4A44-AE9B-D38B9F4364C2,DALTON,Wildfire,10019551,MTBS,Initial,1640,41.725,-121.062,2020-07-23,804403120200708,804403120200809,,2,21,-970,-150,45,9999,9999,,2020
-119.59147125028417,40.8672783080772,NV4083911966720200812,8944C2E9-D7DD-4DD2-9A82-55E61B28B780,POODLE,Wildfire,10019552,MTBS,Initial,13717,40.884,-119.593,2020-08-12,804303220190901,804303220200903,804303220200903,17,19,-970,-150,55,355,9999,,2020
-121.07718994029199,41.35772102774436,CA4136412109120200722,A7920665-A4BB-47FA-871C-976D3213AB40,ALLEN,Wildfire,10019590,MTBS,Initial,1242,41.359,-121.073,2020-07-22,804403120190823,804403120200809,,22,22,-970,-150,65,281,530,,2020
-119.66246729057379,41.800219250682765,NV4180711966720200727,B5B4F18B-F2BB-4642-9296-67C6A9DBA7CA,S-4 SHELDON,Wildfire,10019595,MTBS,Initial,1908,41.8,-119.661,2020-07-27,804403120190823,804403120200809,,25,20,-970,-150,65,340,490,,2020
-120.07966083331974,41.09510093427182,CA4102912028120200818,0AFEBC32-36EE-4FA8-AEC5-419C9C6BA51D,W-5 COLD SPRINGS,Wildfire,10019606,MTBS,Extended,84024,41.115,-120.105,2020-08-18,804303220200802,804303220210805,804303220200903,39,24,-970,-150,60,274,520,,2020
-119.98993616686118,39.84904328342978,CA3983312003820200802,CD8D2F6A-BA50-43CF-A62F-894091D839CC,NORTH,Wildfire,10020186,MTBS,Initial,34120,39.852,-119.987,2020-08-02,804303220200701,804303220200818,,-7,32,-970,-150,45,320,560,,2020
-116.50229679032932,37.10690166043987,NV3712011647620200727,08BCEF87-391E-4AC7-941D-EF63D9D3A6C3,TIMBER MOUNTAIN,Wildfire,10020213,MTBS,Initial,4608,37.104,-116.499,2020-07-27,A11SNB20200717_30m,A11SNB20200806_30m,,10,9,-970,-150,40,9999,9999,No high or moderate severity was identified due to such low biomass in area.,2020
