longitude,latitude,fire_name,burn_area_acres,year,ignition_date,Degree,Event_ID
-114.46731262115615,34.01673243164601,LOST LAKE,5455,2022,2022-05-26,0,CA3399311448120220526
-116.6644525394895,32.60904574866804,BORDER 32,4530,2022,2022-08-31,0,CA3261311670620220831
-116.85645239356798,33.67107614083398,FAIRVIEW,28680,2022,2022-09-05,0,CA3371711689320220905
-118.64376033825225,34.54517161072406,ROUTE,5335,2022,2022-08-31,1,CA3451411862920220831
-118.89603608822276,34.92381574809127,THUNDER,2586,2022,2022-06-22,1,CA3493411887620220622
-116.88376924026075,34.21296295262365,RADFORD,1090,2022,2022-09-05,0,CA3418511691820220905
-116.4647786458706,32.98095319231073,SOUTHERN,5525,2021,2021-05-01,0,CA3298011643520210501
-117.38272621340244,33.49145578473823,CHAPARRAL,1601,2021,2021-08-28,0,CA3350411735320210828
-115.75834091235981,35.362907266445006,MOJAVE,2499,2021,2021-06-17,0,CA3534311578320210617
-118.90888448250448,34.90176060187759,SHELL,2048,2021,2021-06-27,0,CA3494811892720210627
-118.56883595840101,34.09679063398073,PALISADES,1369,2021,2021-05-15,0,CA3408411857020210515
-118.4057205510929,35.42097635478383,PEAK,2317,2021,2021-07-20,0,CA3540811843620210720
-120.10474089721761,34.49399993535609,ALISAL,17677,2021,2021-10-11,0,CA3451712013120211011
-114.6976355418237,33.115150612883205,CLIP,1295,2021,2021-10-05,0,AZ3312611469820211005
-114.06213384167765,34.284320898429215,PLANET RANCH,1250,2021,2021-06-24,0,AZ3428611406920210624
-114.0812510271268,35.462410046908055,ELEMENTS,1480,2021,2021-07-11,0,AZ3545111408320210711
-120.4326260668793,35.39516571852229,POND,2041,2020,2020-08-01,2,CA3541612045620200801
-117.42443822713983,33.40659213935977,INDIA,24193,2020,2020-06-09,2,CA3337911735120200609
-117.62922838447702,33.90138625711958,AIRPORT,1623,2020,2020-12-01,4,CA3389511759820201201
-117.29068385441091,33.381342602940606,CREEK 5,4404,2020,2020-12-24,0,CA3340311726720201224
-118.65047795323159,35.30652033904642,BENA,3117,2020,2020-07-01,1,CA3531811870820200701
-118.33614889153581,34.45454235221439,SOLEDAD,1656,2020,2020-07-05,4,CA3446611833020200705
-118.55495149996678,34.67681974779765,LAKE,30971,2020,2020-08-12,2,CA3467911845220200812
-118.73321606663907,34.45758649343812,HOLSER,2355,2020,2020-08-17,2,CA3444111874620200817
-116.68837704677567,32.736796734202926,VALLEY,16517,2020,2020-09-05,0,CA3276011669320200905
-116.6797023225361,33.87353603868096,SNOW,6468,2020,2020-09-17,3,CA3388811668420200917
-117.70197939704273,33.911963562621565,BLUE RIDGE,13869,2020,2020-10-26,4,CA3387911761920201026
-117.69969442195448,33.71933231033291,SILVERADO,12515,2020,2020-10-26,4,CA3375311768720201026
-117.66314125345379,33.74026634036383,BOND,6627,2020,2020-12-03,4,CA3378011763820201203
